name,ring,quadrant,isNew,status,description
Commitizen,Adopt,Tools,FALSE,no change,"<p><a href=""https://github.com/commitizen/cz-cli"" target=""_blank"" aria-label=""Commitizen. This is an external link. Opens in new tab"" class=""pop-out""><strong>Commitizen</strong><span class=""pop-out-icon""></span></a> is a command-line tool designed to help developers follow conventional commit standards, ensuring that commit messages are consistent and structured. By enforcing a standardized format for commit messages, Commitizen helps improve readability, simplifies release notes generation, and enhances the overall maintainability of the codebase. It integrates with Git hooks to automatically guide developers in crafting meaningful and consistent commit messages. At Mable, we use Commitizen as part of our workflow to maintain clean, well-documented commit histories, streamline semantic versioning, and facilitate automated changelog generation. Its integration with tools like Semantic Release also helps automate versioning and releases, making it an essential tool for maintaining project quality and clarity in our development process.</p>"
ESLint,Adopt,Tools,FALSE,no change,"<p><a href=""https://eslint.org/"" target=""_blank"" aria-label=""ESLint. This is an external link. Opens in new tab"" class=""pop-out""><strong>ESLint</strong><span class=""pop-out-icon""></span></a> is a widely used static code analysis tool for identifying and fixing problems in JavaScript and TypeScript code. It enforces coding standards, catches common programming errors, and helps maintain code quality by analyzing the code for potential issues and offering recommendations for improvement. ESLint is highly customizable, allowing teams to define and enforce their own coding rules, integrate with IDEs, and integrate into CI/CD pipelines for continuous linting. At Mable, ESLint is an integral part of our development process, ensuring that our JavaScript and TypeScript code adheres to best practices, remains consistent, and is free from common bugs. By catching errors early and encouraging uniform code styles, ESLint helps improve productivity, reduce technical debt, and maintain a high standard of code quality across our projects.</p>"
Terraform,Adopt,Tools,FALSE,no change,"<p><a href=""https://www.terraform.io/"" target=""_blank"" aria-label=""Terraform. This is an external link. Opens in new tab"" class=""pop-out""><strong>Terraform</strong><span class=""pop-out-icon""></span></a> is an open-source infrastructure as code (IaC) tool that enables users to define, provision, and manage cloud infrastructure using declarative configuration files. Terraform allows for the automation and management of resources across multiple cloud providers and services, ensuring infrastructure is reproducible, consistent, and version-controlled. It facilitates the creation, modification, and destruction of infrastructure resources such as compute instances, networks, and storage systems, making it a key tool in managing cloud environments. At Mable, we use Terraform to manage our cloud infrastructure across AWS and other platforms, ensuring that our infrastructure is scalable, maintainable, and easily replicable. Terraform’s state management, modules, and integration with CI/CD pipelines help us automate deployment workflows, reduce manual configuration errors, and maintain infrastructure consistency.</p>"
git-secrets,Adopt,Tools,FALSE,no change,"<p><a href=""https://github.com/awslabs/git-secrets"" target=""_blank"" aria-label=""git-secrets. This is an external link. Opens in new tab"" class=""pop-out""><strong>git-secrets</strong><span class=""pop-out-icon""></span></a> is a tool that prevents sensitive data such as passwords, API keys, and other secrets from being committed into Git repositories. By scanning commit histories and code changes, git-secrets helps ensure that sensitive information is never exposed in version control. It integrates seamlessly with Git hooks to check for common secret patterns and prevent accidental inclusion of sensitive data during commits, reducing the risk of security breaches. At Mable, we use git-secrets as part of our security practices to protect sensitive data and ensure that secrets are properly managed and stored in secure locations. This tool helps automate the detection of potential security risks and is a vital part of our efforts to maintain secure development workflows and safeguard our applications.</p>"
Visual Studio Code,Adopt,Tools,FALSE,no change,"<p><a href=""https://code.visualstudio.com/"" target=""_blank"" aria-label=""Visual Studio Code. This is an external link. Opens in new tab"" class=""pop-out""><strong>Visual Studio Code</strong><span class=""pop-out-icon""></span></a> is a lightweight, powerful, and extensible code editor developed by Microsoft. It supports a wide range of programming languages and offers features such as debugging, intelligent code completion, Git integration, and an extensive library of extensions. VSCode’s flexibility allows developers to customize their workflows, integrate with version control systems, and enhance productivity with tools like linting, IntelliSense, and live collaboration. At Mable, VSCode is the primary code editor used across our development teams due to its speed, ease of use, and rich ecosystem of extensions. It seamlessly integrates with our CI/CD pipeline and various tools, improving code quality and developer efficiency. With a focus on simplicity and versatility, VSCode remains a central part of our development environment for both front-end and back-end projects.</p>"
Prettier,Adopt,Tools,FALSE,no change,"<p><a href=""https://prettier.io/"" target=""_blank"" aria-label=""Prettier. This is an external link. Opens in new tab"" class=""pop-out""><strong>Prettier</strong><span class=""pop-out-icon""></span></a> is an opinionated code formatter that automatically formats code according to a consistent style. It supports a wide range of languages, including JavaScript, TypeScript, HTML, CSS, and more. Prettier helps enforce code consistency across teams by eliminating debates over formatting and allowing developers to focus on the logic of the code. It integrates seamlessly with version control systems, IDEs, and CI/CD pipelines, ensuring that all code is formatted the same way regardless of the developer or tool used. At Mable, we use Prettier to ensure consistent code style across our front-end and back-end projects, reduce the time spent on formatting discussions, and improve overall code readability. Prettier helps automate code formatting as part of our development process, ensuring a cleaner and more maintainable codebase.</p>"
Buildkite ,Assess,Tools,FALSE,moved in,"<p><a href=""https://buildkite.com/"" target=""_blank"" aria-label=""Buildkite. This is an external link. Opens in new tab"" class=""pop-out""><strong>Buildkite</strong><span class=""pop-out-icon""></span></a> is a hybrid continuous integration and continuous delivery (CI/CD) platform that enables teams to run fast and scalable builds on their own infrastructure while leveraging cloud-based parallel execution. With its ability to integrate seamlessly with version control systems like GitHub, GitLab, and Bitbucket, Buildkite provides a flexible and customizable CI/CD pipeline that can scale as needed. Its agent-based architecture allows for distributed builds on self-hosted or cloud infrastructure, giving teams full control over their environments. At Mable, we use Buildkite to automate our testing, build, and deployment workflows, ensuring that our software is continuously integrated and delivered efficiently. Buildkite’s extensibility and performance allow us to run complex workflows with speed and reliability, making it a key tool in maintaining high-quality standards across our development pipeline.</p>"
Postman,Adopt,Tools,FALSE,no change,"<p><a href=""https://www.postman.com/"" target=""_blank"" aria-label=""Postman. This is an external link. Opens in new tab"" class=""pop-out""><strong>Postman</strong><span class=""pop-out-icon""></span></a> is a popular API development and testing tool that simplifies the process of building, testing, and documenting APIs. It provides a user-friendly interface for making API requests, organizing them into collections, and automating testing workflows. With features such as request chaining, environment management, and integrations with version control systems, Postman streamlines the development and debugging process for API-based applications. At Mable, we rely on Postman to test and validate our APIs, ensuring they function as expected before deployment. It plays a key role in our development process by helping us maintain consistent API behaviors and improve collaboration between developers and other teams. With its extensive features for mocking, monitoring, and documenting APIs, Postman is essential for efficient API testing and integration.</p>"
Swagger,Adopt,Tools,FALSE,no change,"<p><a href=""https://swagger.io/"" target=""_blank"" aria-label=""Swagger. This is an external link. Opens in new tab"" class=""pop-out""><strong>Swagger</strong><span class=""pop-out-icon""></span></a> is a suite of tools for designing, building, and documenting RESTful APIs. It includes an API definition language (OpenAPI Specification) and a set of tools that allow developers to create interactive API documentation, generate client libraries, and perform API testing. Swagger’s interactive interface allows users to explore API endpoints and test them directly from the documentation, making it easier to understand and use APIs. At Mable, we use Swagger to document our APIs, ensuring that our API definitions are standardized and easily accessible for both internal developers and external partners. Its ability to generate real-time, interactive documentation reduces the risk of miscommunication and helps us maintain consistency across API implementations. Swagger is a key part of our API lifecycle management, improving both development and integration processes.</p>"
Gulp ,Adopt,Tools,FALSE,no change,"<p><a href=""https://gulpjs.com/"" target=""_blank"" aria-label=""Gulp. This is an external link. Opens in new tab"" class=""pop-out""><strong>Gulp</strong><span class=""pop-out-icon""></span></a> is a task runner that automates common development tasks, such as minifying code, compiling Sass or Less, optimizing images, and bundling JavaScript. Gulp uses a streaming build system, where tasks are defined as JavaScript functions, making it highly customizable and extensible. Its speed and simplicity make it a popular choice for automating repetitive tasks in the front-end development workflow. At Mable, we use Gulp to streamline our build processes, improve productivity, and ensure consistency across our development environments. By automating tasks such as code linting, file watching, and asset management, Gulp helps us save time and focus on more important aspects of development while maintaining an efficient and reliable build pipeline.</p>"
Vagrant,Hold,Tools,FALSE,moved in,"<p><a href=""https://www.vagrantup.com/"" target=""_blank"" aria-label=""Vagrant. This is an external link. Opens in new tab"" class=""pop-out""><strong>Vagrant</strong><span class=""pop-out-icon""></span></a> is an open-source tool for building and managing virtualized development environments. By using Vagrant, developers can create consistent, reproducible environments across different machines, reducing the ""works on my machine"" problem. It integrates with various providers like VirtualBox, VMware, and AWS, allowing teams to manage and configure virtual machines through simple configuration files. Vagrant is ideal for setting up isolated environments that mimic production, making it easier to test applications in a controlled setting. At Mable, we use Vagrant to ensure consistency in our development environments, allowing developers to quickly spin up new virtual machines or share configurations across teams. This helps improve collaboration, reduce setup time, and ensure that all team members are working in similar environments, leading to more reliable software development and deployment processes.</p>"
Sonar ,Assess,Tools,FALSE,moved in,"<p><a href=""https://www.sonarqube.org/"" target=""_blank"" aria-label=""SonarQube. This is an external link. Opens in new tab"" class=""pop-out""><strong>SonarQube</strong><span class=""pop-out-icon""></span></a> is an open-source platform for continuous inspection of code quality. It provides static code analysis to detect bugs, vulnerabilities, and code smells, and offers detailed insights into code coverage, duplication, complexity, and maintainability. SonarQube integrates with CI/CD pipelines to provide real-time feedback, helping development teams maintain high-quality standards throughout the development process. At Mable, we use SonarQube to monitor and improve the quality of our codebase, ensuring that we identify and address potential issues early. Its integration with our build pipeline helps automate code reviews, track technical debt, and enforce coding best practices, ultimately contributing to more reliable and maintainable software.</p>"
GitHub,Adopt,Tools,FALSE,no change,"<p><a href=""https://github.com/"" target=""_blank"" aria-label=""GitHub. This is an external link. Opens in new tab"" class=""pop-out""><strong>GitHub</strong><span class=""pop-out-icon""></span></a> is a web-based platform for version control and collaboration, built around Git, the distributed version control system. GitHub allows teams to manage and share their code repositories, track issues, perform code reviews, and collaborate efficiently across various projects. It provides powerful tools for version control, including branching, pull requests, and merging, as well as integrations with a wide range of third-party applications. At Mable, we use GitHub as our primary platform for managing source code, reviewing contributions, and collaborating across teams. Its integration with CI/CD workflows, coupled with features like GitHub Actions for automating testing and deployment, enables us to streamline our development process and ensure seamless delivery of high-quality software. GitHub's collaborative features, like discussion boards and wikis, further enhance communication and knowledge sharing within the team.</p>"
Devbox ,Hold,Tools,FALSE,moved in,"<p><a href=""https://www.jetpack.io/devbox/"" target=""_blank"" aria-label=""Devbox. This is an external link. Opens in new tab"" class=""pop-out""><strong>Devbox</strong><span class=""pop-out-icon""></span></a> is a development environment manager designed to make it easy to spin up isolated and reproducible development environments. By leveraging containers, Devbox allows developers to quickly set up environments with all the necessary dependencies, configurations, and tools required for a specific project. This eliminates the need to manually configure environments on each developer’s machine, ensuring consistency and minimizing the “it works on my machine” problem. Devbox integrates seamlessly with existing workflows, making it simple to test applications across different environments or replicate production settings locally. At Mable, we use Devbox to streamline our development setup, improve consistency across teams, and reduce the overhead of managing complex development environments. It helps maintain a clean and repeatable development process, ensuring developers can focus on writing code instead of managing dependencies and configurations.</p>"
Splunk,Hold,Tools,FALSE,moved in,"<p><a href=""https://www.splunk.com/"" target=""_blank"" aria-label=""Splunk. This is an external link. Opens in new tab"" class=""pop-out""><strong>Splunk</strong><span class=""pop-out-icon""></span></a> is a platform designed for searching, monitoring, and analyzing machine-generated big data via a web-style interface. It provides powerful tools for ingesting and indexing log data, enabling real-time insights into system performance, security, and operational issues. Splunk supports a wide range of use cases, from monitoring application performance to security event management and compliance reporting. With its robust data analytics and visualization capabilities, Splunk helps teams troubleshoot issues faster and gain valuable insights from their logs. At Mable, we use Splunk to monitor application health, detect anomalies, and analyze logs in real-time. By leveraging Splunk's extensive capabilities, we ensure the reliability and security of our systems, as well as gain actionable insights to continuously improve our infrastructure and services.</p>"
Component Testing,Adopt,Techniques,FALSE,no change,"<p><strong>Component Testing</strong> is a testing technique that focuses on verifying the behavior of individual components in isolation, ensuring that they function correctly before being integrated into larger systems. This type of testing is crucial in modern front-end development, where applications are built using small, reusable components. By testing components individually, developers can quickly identify issues, ensure that each part of the application performs as expected, and improve code maintainability. Component tests typically focus on rendering components, simulating user interactions, validating UI updates, and checking for edge cases. At Mable, we emphasize component testing as part of our testing strategy to ensure that our UI components, such as buttons, forms, and modals, work as expected across various scenarios. This technique helps catch issues early, reduces the complexity of debugging, and improves overall code quality, contributing to a more stable and predictable user experience.</p>"
Threat modeling,Adopt,Techniques,FALSE,moved in,"<p><strong>Threat Modeling</strong> is a proactive security technique used to identify, evaluate, and mitigate potential security risks within a system or application. By analyzing the architecture, data flows, and potential attack vectors early in the development process, teams can design systems with built-in security measures to prevent breaches and vulnerabilities. The process involves identifying assets that need protection, determining potential threats and vulnerabilities, assessing their impact and likelihood, and implementing controls to mitigate those risks. At Mable, we incorporate threat modeling into our development lifecycle to ensure that security is integrated from the start, rather than being added later. This technique helps us identify critical security flaws, prioritize mitigation strategies, and reduce the risk of security incidents, ultimately contributing to more secure and resilient systems.</p>"
SLIs and SLOs,Adopt,Techniques,FALSE,moved in,"<p><strong>SLIs (Service Level Indicators)</strong> and <strong>SLOs (Service Level Objectives)</strong> are essential metrics in managing the reliability and performance of services, guiding teams to meet user expectations and maintain high-quality systems. SLIs are quantitative measures that track the performance of a service, such as response time, error rate, or availability, providing a snapshot of how well the system is performing. SLOs are the target values or thresholds that the service aims to achieve for those SLIs, such as ""99.9% availability"" or ""less than 100ms response time."" Together, SLIs and SLOs help define clear expectations for service reliability and performance, aligning engineering efforts with business goals. At Mable, we use SLIs and SLOs to track the reliability of our services and set clear objectives for performance, ensuring that we meet both internal and external user expectations. This approach helps us prioritize improvements, respond to incidents more effectively, and ensure that we maintain a high level of service reliability across our platforms.</p>"
GitHub push protection,Adopt,Techniques,FALSE,no change,"<p><strong>GitHub Push Protection</strong> is a set of features and practices that help prevent unwanted or unauthorized code changes from being pushed to a repository. It includes tools like branch protection rules, required pull requests, status checks, and mandatory code reviews, which ensure that code meets specific criteria before it is merged into important branches. Push protection also includes safeguards such as preventing force pushes, enforcing commit signing, and requiring that tests pass before merging. These protections help maintain code quality, prevent accidental errors or malicious changes, and ensure that only thoroughly reviewed and tested code is deployed. At Mable, we use GitHub push protection to enforce strict quality control, ensuring that every code change is properly reviewed, tested, and validated before being integrated into production. By leveraging these controls, we enhance collaboration, reduce the risk of bugs and security vulnerabilities, and maintain a smooth and secure development workflow.</p>"
Mob and Pair Programming,Trial,Techniques,FALSE,no change,"<p><strong>Mob and Pair Programming</strong> are collaborative development techniques that encourage real-time teamwork, knowledge sharing, and improved code quality. In <strong>Pair Programming</strong>, two developers work together at a single workstation—one writes code (the ""driver""), while the other reviews each line of code (the ""observer"" or ""navigator""), providing feedback, discussing approaches, and considering edge cases. This approach enhances code quality, reduces the likelihood of errors, and fosters knowledge sharing between team members. In <strong>Mob Programming</strong>, the entire development team collaborates at a single computer, with one person driving the keyboard while others contribute ideas, suggest solutions, and discuss implementation strategies. This technique accelerates problem-solving, promotes collective ownership of code, and encourages diverse perspectives in decision-making. At Mable, we use both mob and pair programming to increase collaboration, improve code quality, and ensure that knowledge is shared across the team. These practices help us tackle complex challenges more effectively, improve team communication, and foster a collaborative development culture.</p>"
Feature Toggling,Trial,Techniques,FALSE,no change,"<p><strong>Feature Toggling</strong> is a software development practice that allows features to be enabled or disabled at runtime without deploying new code. This technique is used to control the exposure of new functionality, making it possible to test features in production, manage feature releases, or quickly disable a feature if issues arise. Feature toggles can be used for various purposes, including enabling or disabling experimental features, conducting A/B testing, rolling out features gradually, or managing different configurations for different environments. At Mable, we use feature toggling to control the release of new features to users, allowing us to test new functionality in production with minimal risk. This technique also helps us decouple feature development from deployment, providing flexibility in how we deliver updates to our platform while ensuring a stable user experience.</p>"
Code Formatting,Adopt,Techniques,FALSE,no change,"<p><strong>Code Formatting</strong> is the practice of ensuring that code adheres to a consistent style guide, improving readability, maintainability, and collaboration among developers. It includes guidelines for indentation, spacing, naming conventions, and code organization, helping to avoid unnecessary formatting debates and making it easier for teams to work together. Code formatting tools, such as Prettier or ESLint for JavaScript, automate this process, ensuring that code is consistently formatted according to predefined rules. At Mable, we prioritize code formatting as part of our development workflow, using tools to automatically format code during commits and pull requests. This practice enhances code quality, reduces the cognitive load for developers, and makes it easier to understand and maintain code over time.</p>"
Continuous Delivery,Adopt,Techniques,FALSE,no change,"<p><strong>Continuous Delivery</strong> is a software development practice that ensures code changes are automatically built, tested, and prepared for release to production at any time. With Continuous Delivery, teams can confidently deliver software updates frequently and reliably by automating the process of integrating and deploying code changes. Continuous Delivery typically involves automated testing to validate code quality, integration checks, and automated deployment pipelines to push changes to staging or production environments. At Mable, we use Continuous Delivery to streamline our deployment process, ensuring that new features and bug fixes are available to users quickly and reliably. This approach reduces the risk of errors during manual deployment, speeds up feedback cycles, and enables rapid iteration while maintaining a high level of software quality.</p>"
Continuous Deployment,Adopt,Techniques,FALSE,no change,"<p><strong>Continuous Deployment</strong> is a software development practice where code changes are automatically released to production as soon as they pass automated testing and validation processes. Unlike Continuous Delivery, which prepares code for deployment but requires manual approval to go live, Continuous Deployment eliminates the need for human intervention in the release process. Every change that passes the automated tests is deployed directly to production, ensuring rapid delivery of new features, improvements, and bug fixes. At Mable, we embrace Continuous Deployment to streamline our release process, enabling frequent and reliable updates to production with minimal delays. This practice enhances agility, ensures quick bug fixes, and allows teams to respond to user feedback faster while maintaining high software quality through automated testing and monitoring.</p>"
